
1662436108689 :: get_profile ::  :: 1662436108689 :: response

1662440770028 :: orderBook ::  :: 1662440771074 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -104.75, 'chp': -28.48, 'lp': 263.1, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662440771074 :: orderBook ::  :: 1662440772121 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 106.75, 'chp': 23.73, 'lp': 556.6, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662440830029 :: orderBook ::  :: 1662440831060 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -103.25, 'chp': -28.07, 'lp': 264.6, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662440831060 :: orderBook ::  :: 1662440832076 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 96.85, 'chp': 21.53, 'lp': 546.7, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662440890015 :: orderBook ::  :: 1662440891233 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -98.65, 'chp': -26.82, 'lp': 269.2, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662440891233 :: orderBook ::  :: 1662440892249 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 97.65, 'chp': 21.71, 'lp': 547.5, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662440950016 :: orderBook ::  :: 1662440951063 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -100.3, 'chp': -27.27, 'lp': 267.55, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662440951063 :: orderBook ::  :: 1662440952094 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 97.2, 'chp': 21.61, 'lp': 547.05, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441010018 :: orderBook ::  :: 1662441011127 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -92.95, 'chp': -25.27, 'lp': 274.9, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441011127 :: orderBook ::  :: 1662441012236 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 83.25, 'chp': 18.51, 'lp': 533.1, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441070019 :: orderBook ::  :: 1662441071097 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -95.0, 'chp': -25.83, 'lp': 272.85, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441071097 :: orderBook ::  :: 1662441072128 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 85.35, 'chp': 18.97, 'lp': 535.2, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441130021 :: orderBook ::  :: 1662441131052 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -102.8, 'chp': -27.95, 'lp': 265.05, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441131052 :: orderBook ::  :: 1662441132114 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 99.3, 'chp': 22.07, 'lp': 549.15, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441190023 :: orderBook ::  :: 1662441191069 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -94.9, 'chp': -25.8, 'lp': 272.95, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441191069 :: orderBook ::  :: 1662441192116 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 92.6, 'chp': 20.58, 'lp': 542.45, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441250024 :: orderBook ::  :: 1662441251055 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -95.85, 'chp': -26.06, 'lp': 272.0, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441251055 :: orderBook ::  :: 1662441252070 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 88.55, 'chp': 19.68, 'lp': 538.4, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441310026 :: orderBook ::  :: 1662441311088 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -96.05, 'chp': -26.11, 'lp': 271.8, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441311088 :: orderBook ::  :: 1662441312134 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 87.65, 'chp': 19.48, 'lp': 537.5, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441370027 :: orderBook ::  :: 1662441371167 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -96.6, 'chp': -26.26, 'lp': 271.25, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441371167 :: orderBook ::  :: 1662441372183 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 86.05, 'chp': 19.13, 'lp': 535.9, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441430029 :: orderBook ::  :: 1662441431106 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -93.75, 'chp': -25.49, 'lp': 274.1, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441431106 :: orderBook ::  :: 1662441432137 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 80.35, 'chp': 17.86, 'lp': 530.2, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441490014 :: orderBook ::  :: 1662441491077 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -91.3, 'chp': -24.82, 'lp': 276.55, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441491077 :: orderBook ::  :: 1662441492092 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 73.5, 'chp': 16.34, 'lp': 523.35, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441550016 :: orderBook ::  :: 1662441551125 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -86.05, 'chp': -23.39, 'lp': 281.8, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441551125 :: orderBook ::  :: 1662441552156 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 58.85, 'chp': 13.08, 'lp': 508.7, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662441610018 :: orderBook ::  :: 1662441611127 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -76.35, 'chp': -20.76, 'lp': 291.5, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662441611127 :: orderBook ::  :: 1662441612126 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': 46.15, 'chp': 10.26, 'lp': 496.0, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

